Date,Pcpn
1/1/01,0.13
1/2/01,0.13
1/3/01,0.37
1/4/01,2.04
1/5/01,1.87
1/6/01,3.54
1/7/01,9.84
1/8/01,170.65
1/9/01,76.62
1/10/01,280.02
1/11/01,537.69
1/12/01,137.68
1/13/01,21.01
1/14/01,10.43
1/15/01,12.34
1/16/01,7.91
1/17/01,3.69
1/18/01,1.74
1/19/01,3.35
1/20/01,1.73
1/21/01,1.63
1/22/01,0.99
1/23/01,66.75
1/24/01,233.8
1/25/01,136.13
1/26/01,213.84
1/27/01,34.57
1/28/01,9.35
1/29/01,41.06
1/30/01,2.94
1/31/01,4.3
2/1/01,2.88
2/2/01,6.74
2/3/01,2.99
2/4/01,0.91
2/5/01,1.28
2/6/01,6.88
2/7/01,18.2
2/8/01,12.76
2/9/01,132.15
2/10/01,215.22
2/11/01,240.63
2/12/01,248.72
2/13/01,213.72
2/14/01,32.05
2/15/01,7.56
2/16/01,6.11
2/17/01,52.75
2/18/01,84.11
2/19/01,154.78
2/20/01,203.88
2/21/01,136.02
2/22/01,161.23
2/23/01,128.95
2/24/01,169.26
2/25/01,220.26
2/26/01,126.65
2/27/01,60.75
2/28/01,54.89
3/1/01,18.97
3/2/01,87.11
3/3/01,48.11
3/4/01,255.1
3/5/01,337.59
3/6/01,120.39
3/7/01,32.2
3/8/01,6.65
3/9/01,26.58
3/10/01,35.29
3/11/01,10.45
3/12/01,2.73
3/13/01,0.52
3/14/01,6.59
3/15/01,1.87
3/16/01,0.7
3/17/01,3.19
3/18/01,1.97
3/19/01,3.41
3/20/01,3.63
3/21/01,2.43
3/22/01,3.99
3/23/01,2.03
3/24/01,41.92
3/25/01,87.19
3/26/01,9.7
3/27/01,4.58
3/28/01,13.09
3/29/01,2.27
3/30/01,0.63
3/31/01,13
4/1/01,1.6
4/2/01,8.35
4/3/01,7.5
4/4/01,2.86
4/5/01,8.19
4/6/01,74.69
4/7/01,242.11
4/8/01,54.71
4/9/01,44.29
4/10/01,28.86
4/11/01,25.63
4/12/01,29.45
4/13/01,2.35
4/14/01,2.51
4/15/01,1.96
4/16/01,6.29
4/17/01,19.7
4/18/01,26.5
4/19/01,74.62
4/20/01,161.34
4/21/01,159.92
4/22/01,11.91
4/23/01,4.44
4/24/01,0.62
4/25/01,0.26
4/26/01,0.11
4/27/01,1.83
4/28/01,9.55
4/29/01,1.09
4/30/01,14.87
5/1/01,0.94
5/2/01,1.41
5/3/01,0.43
5/4/01,0.45
5/5/01,0.55
5/6/01,0.08
5/7/01,0.91
5/8/01,0.2
5/9/01,0.27
5/10/01,14.01
5/11/01,0.36
5/12/01,4.41
5/13/01,1.29
5/14/01,8.35
5/15/01,37.14
5/16/01,10.05
5/17/01,0.69
5/18/01,0.55
5/19/01,0.87
5/20/01,0.46
5/21/01,0.5
5/22/01,1.62
5/23/01,0.4
5/24/01,0.87
5/25/01,0.64
5/26/01,0.55
5/27/01,2.32
5/28/01,2.19
5/29/01,0.55
5/30/01,14.14
5/31/01,0.55
6/1/01,0.22
6/2/01,0.47
6/3/01,0.39
6/4/01,0.06
6/5/01,0.83
6/6/01,0.1
6/7/01,0.12
6/8/01,0.14
6/9/01,0.05
6/10/01,0.06
6/11/01,1.34
6/12/01,2.04
6/13/01,0.1
6/14/01,0.02
6/15/01,0.04
6/16/01,0.51
6/17/01,0.09
6/18/01,0.13
6/19/01,0.15
6/20/01,0.02
6/21/01,0.46
6/22/01,0.07
6/23/01,1
6/24/01,0.8
6/25/01,4.29
6/26/01,32.43
6/27/01,68.21
6/28/01,18.95
6/29/01,0.01
6/30/01,0
7/1/01,0.05
7/2/01,0.93
7/3/01,2.41
7/4/01,4.58
7/5/01,6.46
7/6/01,14.06
7/7/01,16.51
7/8/01,4.08
7/9/01,23.67
7/10/01,6.57
7/11/01,8.84
7/12/01,3.73
7/13/01,0.13
7/14/01,1.64
7/15/01,0.46
7/16/01,0.85
7/17/01,15.28
7/18/01,0.93
7/19/01,0.51
7/20/01,0.53
7/21/01,0.05
7/22/01,0
7/23/01,0.24
7/24/01,0.04
7/25/01,0.01
7/26/01,0.01
7/27/01,0.01
7/28/01,0
7/29/01,0.12
7/30/01,3.81
7/31/01,15.32
8/1/01,0.27
8/2/01,0.26
8/3/01,0.13
8/4/01,0.42
8/5/01,14.96
8/6/01,0.13
8/7/01,0.95
8/8/01,2.14
8/9/01,3.13
8/10/01,0.24
8/11/01,0.1
8/12/01,0.61
8/13/01,0.51
8/14/01,0.5
8/15/01,0.1
8/16/01,0.1
8/17/01,0.11
8/18/01,0.04
8/19/01,0.07
8/20/01,0.42
8/21/01,14.99
8/22/01,3.03
8/23/01,6.84
8/24/01,0.31
8/25/01,0.06
8/26/01,0
8/27/01,0.12
8/28/01,0.19
8/29/01,0.19
8/30/01,0.43
8/31/01,0.29
9/1/01,1.49
9/2/01,7.2
9/3/01,5.48
9/4/01,0.39
9/5/01,3.15
9/6/01,3.27
9/7/01,3
9/8/01,0.21
9/9/01,3.49
9/10/01,3.19
9/11/01,4.07
9/12/01,5.88
9/13/01,6.37
9/14/01,3.91
9/15/01,5.78
9/16/01,3.72
9/17/01,3.93
9/18/01,0.21
9/19/01,0.14
9/20/01,0.33
9/21/01,0.1
9/22/01,0.3
9/23/01,0.08
9/24/01,17.68
9/25/01,92.83
9/26/01,6.17
9/27/01,0.75
9/28/01,0.3
9/29/01,0.43
9/30/01,0.23
10/1/01,0.13
10/2/01,0.05
10/3/01,0.05
10/4/01,2.83
10/5/01,0.14
10/6/01,1.19
10/7/01,0.79
10/8/01,3.06
10/9/01,0.5
10/10/01,1.42
10/11/01,8.81
10/12/01,0.68
10/13/01,0.03
10/14/01,0.07
10/15/01,1.53
10/16/01,0.14
10/17/01,0.03
10/18/01,0.04
10/19/01,0.04
10/20/01,0.03
10/21/01,0.83
10/22/01,4.17
10/23/01,9.14
10/24/01,0.05
10/25/01,0.05
10/26/01,0.06
10/27/01,0.7
10/28/01,2.37
10/29/01,18.71
10/30/01,221
10/31/01,95.98
11/1/01,3.77
11/2/01,0.28
11/3/01,0.53
11/4/01,5.01
11/5/01,3.03
11/6/01,3.76
11/7/01,0.24
11/8/01,0.09
11/9/01,0.18
11/10/01,30.28
11/11/01,130.63
11/12/01,297.42
11/13/01,225.3
11/14/01,40.68
11/15/01,16.54
11/16/01,50.47
11/17/01,18.71
11/18/01,2.65
11/19/01,13.62
11/20/01,39.07
11/21/01,157.19
11/22/01,235.13
11/23/01,50.29
11/24/01,396.57
11/25/01,172.51
11/26/01,40.72
11/27/01,17.13
11/28/01,106.1
11/29/01,307.94
11/30/01,47.62
12/1/01,247.32
12/2/01,416.78
12/3/01,232.93
12/4/01,23.82
12/5/01,129.6
12/6/01,97.23
12/7/01,4.01
12/8/01,5.71
12/9/01,42.88
12/10/01,28.81
12/11/01,5.86
12/12/01,7.02
